sample_ID	sample_type	compound_ID	compound_CAS	compound_name	compound_abbr	mean_ID	mean_ID_control	control_type	conc_ID	conc_amt	conc_unit	conc_max	conc_min	rep	lib_size	read_depth	plate_ID	plate_well	plate_row	plate_col	batch	timepoint	cell_type	compound_class	LOAEL_amt	LOAEL_unit	PBPK_equivalent	PBPK_serum_level
CS1104_C1_P1_R1	Treatment	CS1104	108-32-7	Propylene carbonate	PC	CS1104_1_P1	DMSOLow_P1	DMSOLow	1	0.03	µM	180	0.03	1	3170691	140.713220609772	P1	A6	A	6	1	24	PHH	Low toxicity	500	mg/kg/d	211.2270404	10 mg/kg
CS1104_C1_P1_R2	Treatment	CS1104	108-32-7	Propylene carbonate	PC	CS1104_1_P1	DMSOLow_P1	DMSOLow	1	0.03	µM	180	0.03	2	2967209	131.682820751786	P1	A6	A	6	1	24	PHH	Low toxicity	500	mg/kg/d	211.2270404	10 mg/kg
CS1104_C1_P1_R3	Treatment	CS1104	108-32-7	Propylene carbonate	PC	CS1104_1_P1	DMSOLow_P1	DMSOLow	1	0.03	µM	180	0.03	3	3903364	173.228775573603	P1	G10	G	10	1	24	PHH	Low toxicity	500	mg/kg/d	211.2270404	10 mg/kg
CS1104_C2_P1_R1	Treatment	CS1104	108-32-7	Propylene carbonate	PC	CS1104_2_P1	DMSOLow_P1	DMSOLow	2	0.3	µM	180	0.03	1	3368222	149.479518927795	P1	B6	B	6	1	24	PHH	Low toxicity	500	mg/kg/d	211.2270404	10 mg/kg
CS1104_C2_P1_R2	Treatment	CS1104	108-32-7	Propylene carbonate	PC	CS1104_2_P1	DMSOLow_P1	DMSOLow	2	0.3	µM	180	0.03	2	3037450	134.800071006968	P1	B6	B	6	1	24	PHH	Low toxicity	500	mg/kg/d	211.2270404	10 mg/kg
CS1104_C2_P1_R3	Treatment	CS1104	108-32-7	Propylene carbonate	PC	CS1104_2_P1	DMSOLow_P1	DMSOLow	2	0.3	µM	180	0.03	3	3923667	174.129809612568	P1	F10	F	10	1	24	PHH	Low toxicity	500	mg/kg/d	211.2270404	10 mg/kg
CS1104_C3_P1_R1	Treatment	CS1104	108-32-7	Propylene carbonate	PC	CS1104_3_P1	DMSOLow_P1	DMSOLow	3	1	µM	180	0.03	1	3826610	169.822482581103	P1	C6	C	6	1	24	PHH	Low toxicity	500	mg/kg/d	211.2270404	10 mg/kg
CS1104_C3_P1_R2	Treatment	CS1104	108-32-7	Propylene carbonate	PC	CS1104_3_P1	DMSOLow_P1	DMSOLow	3	1	µM	180	0.03	2	3379163	149.965073447832	P1	C6	C	6	1	24	PHH	Low toxicity	500	mg/kg/d	211.2270404	10 mg/kg
CS1104_C3_P1_R3	Treatment	CS1104	108-32-7	Propylene carbonate	PC	CS1104_3_P1	DMSOLow_P1	DMSOLow	3	1	µM	180	0.03	3	3611340	160.268938889629	P1	E10	E	10	1	24	PHH	Low toxicity	500	mg/kg/d	211.2270404	10 mg/kg
CS1104_C4_P1_R1	Treatment	CS1104	108-32-7	Propylene carbonate	PC	CS1104_4_P1	DMSOLow_P1	DMSOLow	4	3.1	µM	180	0.03	1	3644146	161.72484800071	P1	D6	D	6	1	24	PHH	Low toxicity	500	mg/kg/d	211.2270404	10 mg/kg
CS1104_C4_P1_R2	Treatment	CS1104	108-32-7	Propylene carbonate	PC	CS1104_4_P1	DMSOLow_P1	DMSOLow	4	3.1	µM	180	0.03	2	3516536	156.061598544357	P1	D6	D	6	1	24	PHH	Low toxicity	500	mg/kg/d	211.2270404	10 mg/kg
